Portuguese,English
eu,I
você,you
ele,he
ela,she
nós,us
vocês,you
eles,they
elas,they
de,of
do,of
da,from the
dos,of the
das,of
em,in
no,node
na,in the
nos,us
nas,in the
um,one
uma,one
uns,some
umas,some
o,the
a,the
os,you
as,to the
que,what
se,if
por,put
para,to
com,with
como,as
mais,more
mas,but
muito,very
também,also
já,already
só,only
não,no
sim,Yes
porque,why
quando,when
onde,where
quem,who
qual,which
quanto,as
enquanto,while
tudo,all
nada,nothing
algo,something
alguém,somebody
nenhum,none
este,this
essa,that
isso,that
aquele,that one
aquilo,that one
todo,all
cada,each
outro,other
mesmo,same
antes,before
depois,after
agora,now
então,then
ainda,yet
sempre,always
nunca,never
talvez,perhaps
aqui,here
ali,there
lá,there
daí,from there
debaixo,underneath
sobre,on
entre,between
frente,front
atrás,back
dentro,within
fora,outside
acima,above
abaixo,below
até,until
desde,since
contra,against
sem,without
sob,under
após,after
diante,before
segundo,second
conforme,according to
durante,during
além,in addition
através,through
acerca,about
pois,then
portanto,therefore
logo,logo
assim,like this
caso,case
embora,although
porque,why
como,as
que,what
e,and
ou,or
nem,nor
mas,but
porém,although
todavia,still
contudo,however
entretanto,nonetheless
seja,it is
isto,this
isso,that
aquilo,that one
há,there is
é,and
foi,he was
era,was
será,it will be
são,they are
estou,I am
está,this
estava,he was
estarão,will be
fui,I went
fomos,we were
eram,they were
tinha,he had
tenho,I have
terá,will have
teria,would have
poder,power
posso,I can
pode,he can
podia,could
poderia,it could
deve,he must
devia,should
quer,he wants
queria,I wanted
quis,wanted
vai,go
iria,I would go
vem,he comes
veio,he came
vinha,vineyard
virá,will come
dá,from the
deu,it gave
dava,gave
dar,give
dizer,to say
disse,he said
dizia,said
saber,to know
soube,I knew
sabia,you knew
ver,see
viu,it saw
via,via
fazer,to do
fez,he did
fazia,did
feito,done
ficar,to stay
ficou,it was left
ficava,was
deixar,to leave
deixou,he left
deixava,left
passar,to spend
passou,it happened
passava,passed
levar,to take
levou,he took
levava,took
chegar,to arrive
chegou,it arrived
chegava,arrived
entrar,to enter
entrou,entered
entrava,entered
sair,to go out
saiu,it went out
saía,skirt
voltar,to go back
voltou,it returned
voltava,came back
começar,to start
começou,it started
começava,began
parecer,opinion
pareceu,seemed
parecia,seemed
sentir,to feel
sentiu,felt
sentia,felt
pensar,think
